Occurred,Lon,Lat,City,State,Country,Shape,Summary,Media,Explanation
1/20/1999,-112.747251,45.7510371,Butte,MT,USA,Diamond,We were driving & just cleared the top of the Continental Divide when we spotted a huge light in the sky just ahead of the car. It was,,
12/30/2001,-76.564687,39.220941,Baltimore,MD,USA,Orb,9 glowing orbs over Baltimore MD,,
4/11/2021,-76.564687,39.220941,Baltimore,MD,USA,Changing,"Pulsating orb, miles in the sky remained still. Broke into multiple lights, then back into 1. Disappeared after 20 minutes.",,
8/3/2008,-76.564687,39.220941,Baltimore,MD,USA,Teardrop,"Large object that changed colors in night skies over Baltimore,Maryland.",,
4/1/2028,-97.68606624,30.256999399999998,Austin,TX,USA,Other,"This thing went Galactic, out of the Universe!",,
3/25/2018,-81.1764865,35.3160401,Dallas,NC,USA,Formation,Noticed a white boomerang shaped object very high in the sky traveling much faster than comparable planes in the busy sky. We saw it go,,
4/22/1978,-120.5610816,47.5412029,Dryden,WA,USA,Light,A red white and blue light in the sky following the stars. Was not a star.,,
9/11/2019,-87.6244212,41.8755616,Chicago,IL,USA,Sphere,I was on a commercial jet on final approach into Midway airport near Chicago. We were Over Lake Michigan at approximately 1k feet and I,,
11/26/2021,-83.4148895,36.0153693,Dandridge,TN,USA,Sphere,Enormous orange light hovering then disappearing,Y,
3/21/1967,-92.1251218,46.7729322,Duluth,MN,USA,Triangle,"In the early morning on a winter day when I was younger, my friends and I had a sleep over, and one of my friends had a paper route, so",,
10/20/1964,-83.15050668,42.3696008,Detroit,MI,USA,Circle,Amateur astronomer has sighting with telescope of a large circular object with writting on it in 1964.,,
4/17/2007,-106.4855177,35.1514975,Albuquerque,NM,USA,Sphere,White sphere descends from sky in the Bosque.,,
3/1/2007,-80.8430827,35.2272086,Charlotte,NC,USA,Light,bizarre orange lights over south charlotte,,
4/11/1981,-84.5124602,39.1014537,Cincinnati,OH,USA,Sphere,((HOAX??)) Orange ball moving at high speed in different directions ((anonymous report)),,
11/20/2001,-81.6814279,36.7983724,Chilhowie,VA,USA,Triangle,yellow triangle,,
7/23/2003,-92.9438218,44.8277446,Cottage Grove,MN,USA,Changing,I saw a strange light show over suburban Minnesota,,
6/9/2019,-122.1511929,44.7349139,Detroit,OR,USA,Sphere,"While taking a scenic photo of Mt. Jefferson, looking S. I noticed a silver sphere motionless. ((anonymous report))",,
8/12/2005,-123.2620435,44.5645659,Corvallis,OR,USA,Triangle,"On the night of August 12, 2005, we noticed a triangle shaped craft entering our galaxy.",,
5/31/2018,-104.830994,39.7405111,Aurora,CO,USA,Circle,Silver object in the sky moving slowly west to east then fast to north.,,
4/28/1982,-117.566444,33.8752945,Corona,CA,USA,Light,Reddish light traveling at tremendous speed above Cleveland National Forest,,
4/7/1986,-81.6965168,40.9700549,Doylestown,OH,USA,Light,Large hovering bright blue light with rapid acceleration.,,
7/1/2001,-87.8729748,41.7771605,Countryside,IL,USA,Egg,neon blue eggshaped object fell from sky very large no lights no sound lots of mass and leveled out when approched ground,,
